user_id,acq_channel,transactions
df0f3327-381,JetAds,37
df0f3327-381,SenseAds,36
241cb8694b53,GameAds,24
0c9453440c85,SenseAds,40
96-4377d99ca,BrainPlus,74
926d653_fd4a,JetAds,52
8d5-44-0814d,BrainPlus,50
c60360dd52_c,GameAds,37
35_484421-_4,SenseAds,11
0761c79cc1d6,JetAds,43
d9082b279fb-,SenseAds,55
86_17d89b08-,JetAds,38
53_8533f697c,JetAds,58
6a084897_14c,BrainPlus,45
d_42bc99715d,JetAds,56
b1f1a8df_c_7,GameAds,53
d129__9bd821,BrainPlus,29
df0f3327-381,GameAds,43
9-64-32-4d58,BrainPlus,82
7da_62c08c83,GameAds,43
c60360dd52_c,JetAds,47
d9082b279fb-,BrainPlus,43
6a084897_14c,JetAds,47
a_17172c---5,GameAds,24
cf356c8c270c,GameAds,49
c727fd7cc667,SenseAds,53
11345d93_-9-,SenseAds,30
4c6042c88b3b,JetAds,43
d_42bc99715d,SenseAds,50
a_17172c---5,JetAds,31
b1f1a8df_c_7,JetAds,53
--6968ca-40d,BrainPlus,41
c727fd7cc667,GameAds,25
37b2d44889bb,JetAds,61
2479d-a-1--b,GameAds,69
4932a051-6_2,SenseAds,54
30b98b36_369,BrainPlus,52
df0f3327-381,BrainPlus,53
926d653_fd4a,JetAds,33
_a341f877caf,JetAds,60
-4c86aa5732-,JetAds,25
b1f1a8df_c_7,SenseAds,50
3f94090-0df0,JetAds,37
8-7b70310913,GameAds,42
241cb8694b53,JetAds,71
0b31dc55b4__,JetAds,47
0761c79cc1d6,JetAds,61
86_17d89b08-,GameAds,59
53_8533f697c,SenseAds,42
ac697ff23_7c,SenseAds,59
4b0fa428cafa,BrainPlus,52
7850778124a1,GameAds,36
8-7b70310913,GameAds,36
72129a-69_95,GameAds,66
f5867d-526db,JetAds,69
c-5976-58f-7,BrainPlus,52
9-64-32-4d58,SenseAds,61
-4c86aa5732-,BrainPlus,35
d9082b279fb-,GameAds,66
--6968ca-40d,BrainPlus,43
_3afb1-3d18f,JetAds,71
8-7b70310913,BrainPlus,69
6ad6c5-6-2-a,GameAds,45
_c500404cac9,JetAds,42
72129a-69_95,SenseAds,51
c-5976-58f-7,GameAds,52
7b54bdf4-64-,BrainPlus,58
c727fd7cc667,BrainPlus,71
37b2d44889bb,JetAds,40
4b0fa428cafa,GameAds,59
7850778124a1,SenseAds,74
8-7b70310913,BrainPlus,37
f5867d-526db,SenseAds,37
d66199666c5_,SenseAds,42
7a3_--0d4130,JetAds,65
50a470_6471c,JetAds,50
-c5--74dd9_f,GameAds,65
926d653_fd4a,SenseAds,40
7da_62c08c83,SenseAds,46
0c9453440c85,GameAds,46
0b31dc55b4__,SenseAds,33
-4c86aa5732-,JetAds,39
86_17d89b08-,GameAds,40
2250aaf0-9ff,BrainPlus,13
3f94090-0df0,SenseAds,64
6ad6c5-6-2-a,BrainPlus,54
2fc0a9f8ad_0,JetAds,42
2b96c03fd4d5,JetAds,69
-545_-_38-89,BrainPlus,41
d73459ffa7ff,JetAds,54
-c5--74dd9_f,SenseAds,69
36c-705d34a5,GameAds,54
6-2276db_87b,JetAds,56
fa239dbb3-dd,SenseAds,44
101-2dd7b2_1,GameAds,43
d129__9bd821,BrainPlus,69
0b31dc55b4__,GameAds,56
86_17d89b08-,JetAds,62
f25f9b55b1-5,JetAds,49
3f94090-0df0,JetAds,38
_c500404cac9,GameAds,57
9d617_a0_5-3,GameAds,21
6-2276db_87b,GameAds,38
75b08_0d_68f,BrainPlus,52
a7d2a4d8bb22,JetAds,54
9503f0b3cb67,SenseAds,18
84_f779141-d,SenseAds,30
