ID,Order Date,Class,Region,Sub-Category,Sales
646,30/12/2018,Стандарт,Урал,Appliances,37229.08
907,30/12/2018,Стандарт,Владивосток,Bookcases,20994.61
908,30/12/2018,Стандарт,Владивосток,Phones,42133.86
909,30/12/2018,Стандарт,Владивосток,Binders,-29388.0
1297,30/12/2018,Стандарт,Калиниград,Binders,28781.13
1298,30/12/2018,Стандарт,Калиниград,Binders,7366.876
5092,30/12/2018,Стандарт,Калиниград,Fasteners,42478.36
1878,29/12/2018,Стандарт,Калиниград,Chairs,11542.82
1879,29/12/2018,Стандарт,Калиниград,Phones,1783.405
2875,29/12/2018,Первый класс,Владивосток,Fasteners,26200.09
4240,29/12/2018,Стандарт,Урал,Paper,14612.86
5132,29/12/2018,Стандарт,Калиниград,Furnishings,34620.87
5457,29/12/2018,Стандарт,Калиниград,Fasteners,42589.86
5458,29/12/2018,Стандарт,Калиниград,Furnishings,40155.94
7633,29/12/2018,Второй класс,Москва,Chairs,-16168.5
7634,29/12/2018,Второй класс,Москва,Binders,26595.62
7635,29/12/2018,Второй класс,Москва,Art,19618.41
7636,29/12/2018,Второй класс,Москва,Chairs,22465.96
7637,29/12/2018,Второй класс,Москва,Chairs,26242.81
271,28/12/2018,Второй класс,Калиниград,Storage,16992.99
571,28/12/2018,Стандарт,Владивосток,Labels,31226.94
572,28/12/2018,Стандарт,Владивосток,Fasteners,16731.25
573,28/12/2018,Стандарт,Владивосток,Binders,44558.37
574,28/12/2018,Стандарт,Владивосток,Phones,23689.7
954,28/12/2018,Стандарт,Урал,Art,24716.06
955,28/12/2018,Стандарт,Урал,Bookcases,30339.32
2432,28/12/2018,Стандарт,Калиниград,Furnishings,39774.51
4288,28/12/2018,Стандарт,Москва,Storage,22574.09
6090,28/12/2018,Второй класс,Калиниград,Binders,4491.1
6150,28/12/2018,Первый класс,Калиниград,Chairs,-33548.21
6819,28/12/2018,Стандарт,Урал,Binders,12404.17
6820,28/12/2018,Стандарт,Урал,Furnishings,32809.06
6821,28/12/2018,Стандарт,Урал,Chairs,6393.672
6822,28/12/2018,Стандарт,Урал,Furnishings,27856.56
7485,28/12/2018,Стандарт,Урал,Art,42642.82
7486,28/12/2018,Стандарт,Урал,Binders,29781.19
8098,28/12/2018,Стандарт,Калиниград,Storage,24564.43
8099,28/12/2018,Стандарт,Калиниград,Paper,42589.07
2570,27/12/2018,Same Day,Владивосток,Phones,6183.071
2571,27/12/2018,Same Day,Владивосток,Art,44999.8
1009,26/12/2018,Стандарт,Урал,Paper,26704.8
3786,26/12/2018,Стандарт,Владивосток,Binders,13789.87
5475,26/12/2018,Same Day,Урал,Storage,1791.681
8159,26/12/2018,Стандарт,Урал,Paper,40922.98
111,25/12/2018,Стандарт,Владивосток,Furnishings,18847.1
689,25/12/2018,Стандарт,Владивосток,Bookcases,2069.347
2003,25/12/2018,Второй класс,Москва,Storage,5419.755
2004,25/12/2018,Второй класс,Москва,Chairs,1145.783
2424,25/12/2018,Стандарт,Владивосток,Accessories,44654.52
2425,25/12/2018,Стандарт,Владивосток,Binders,23676.68
2426,25/12/2018,Стандарт,Владивосток,Tables,20138.65
2427,25/12/2018,Стандарт,Владивосток,Fasteners,35796.4
4922,25/12/2018,Второй класс,Москва,Paper,43299.08
4923,25/12/2018,Второй класс,Москва,Fasteners,15305.6
4924,25/12/2018,Второй класс,Москва,Paper,30747.34
4925,25/12/2018,Второй класс,Москва,Phones,1444.928
6075,25/12/2018,Стандарт,Калиниград,Binders,26275.9
6076,25/12/2018,Стандарт,Калиниград,Storage,9363.125
6807,25/12/2018,Стандарт,Калиниград,Binders,21737.3
7943,25/12/2018,Стандарт,Урал,Binders,4088.437
7944,25/12/2018,Стандарт,Урал,Supplies,12752.65
7945,25/12/2018,Стандарт,Урал,Art,41033.05
